Title,Assignees,Body,Start Date,Due Date,Sprint,Status,Priority,Story Points,Labels,Dependencies
API-01: CRUD APIs,Engji,"## Goal
Implement basic CRUD endpoints for core resources.

## Description
Build RESTful API endpoints over HTTP/HTTPS (Requirement #2) using DRF (Requirement #4).

## Tasks
- Create Project CRUD endpoints (GET, POST, PUT, DELETE)
- Create Task CRUD endpoints
- Create Comment CRUD endpoints
- Create ActivityLog read endpoint
- Add pagination, sorting, filtering
- Implement permissions and validation
- Write tests
- Document endpoints in Swagger

## Acceptance Criteria
- CRUD endpoints work correctly over HTTP/HTTPS
- REST conventions followed
- Tests pass and Swagger docs complete

## Key Requirements Covered
✅ Requirement #2: HTTP/HTTPS Communication
✅ Requirement #3: 20+ Endpoints
✅ Requirement #4: RESTful API Framework

## Story Points: 6
## Dependencies: DB-02",2026-05-08,2026-05-11,Sprint 2,To Do,High,6,"backend,api",DB-02
CACHE-01: Redis,Fatlinda,"## Goal
Integrate Redis for caching frequently accessed data.

## Description
Implement caching strategy for REST endpoints to improve response times.

## Tasks
- Configure Redis
- Cache project/task lists
- Add invalidation rules
- Write cache tests

## Acceptance Criteria
- Cache improves performance
- Data is consistent after invalidation
- Tests pass

## Story Points: 5
## Dependencies: API-01",2026-05-12,2026-05-14,Sprint 2,To Do,Medium,5,"backend,redis",API-01
TEST-01: Unit Tests,Leona,"## Goal
Write unit tests for models, serializers, permissions, and business logic.

## Description
Achieve 80%+ coverage and validate critical backend functionality.

## Tasks
- Test models and serializers
- Test permissions and auth flow
- Test multi-tenant isolation
- Test cache invalidation
- Configure coverage reporting

## Acceptance Criteria
- 80%+ coverage
- Tests pass reliably
- CI runs tests

## Story Points: 5
## Dependencies: API-01",2026-05-12,2026-05-14,Sprint 2,To Do,Medium,5,"testing",API-01
FE-03: Dashboard,Engji,"## Goal
Build dashboard UI with project statistics and recent activity.

## Description
Consumes REST endpoints from API-01 over HTTP/HTTPS.

## Endpoint Dependencies
- GET /api/projects/
- GET /api/tasks/
- GET /api/activity-logs/

## Tasks
- Build dashboard UI
- Integrate API data
- Add charts and loading states

## Acceptance Criteria
- Dashboard shows real API data
- Handles errors gracefully

## Story Points: 5
## Dependencies: FE-02, API-01",2026-05-08,2026-05-12,Sprint 2,To Do,Medium,5,"frontend","FE-02,API-01"
FE-04: Task Board,Fatlinda,"## Goal
Implement Kanban task board.

## Description
Uses API-01 endpoints over HTTP/HTTPS. Uses only basic filtering from API-01 (no dependency on API-03).

## Endpoint Dependencies
- GET /api/tasks/
- PATCH /api/tasks/{id}/
- POST /api/tasks/

## Acceptance Criteria
- Kanban board displays and updates tasks
- Drag and drop or status change works

## Story Points: 5
## Dependencies: API-01",2026-05-12,2026-05-14,Sprint 2,To Do,High,5,"frontend,tasks",API-01
CI-01: GitHub Actions,Fatlinda,"## Goal
Set up CI pipeline for tests, linting, and builds.

## Description
Ensure GitHub Actions runs on every push/PR.

## Tasks
- Create test workflow
- Create lint workflow
- Add frontend build workflow
- Enforce PR checks

## Acceptance Criteria
- CI runs on every push/PR
- Failed tests block merges

## Story Points: 5
## Dependencies: PM-01",2026-05-09,2026-05-11,Sprint 2,To Do,Medium,5,"ci",PM-01
API-02: Extra Endpoints,Engji,"## Goal
Implement additional 15+ endpoints to reach minimum of 20 total endpoints.

## Description
Build REST endpoints over HTTP/HTTPS following REST conventions.

## Tasks
- Create endpoints for workspaces, roles, permissions, notifications, users, invites
- Add health and metrics endpoints
- Document all endpoints in Swagger
- Write tests

## Acceptance Criteria
- 20+ endpoints total
- All endpoints use HTTP/HTTPS and REST verbs
- Swagger documentation complete

## Key Requirements Covered
✅ Requirement #2: HTTP/HTTPS Communication
✅ Requirement #3: 20+ Endpoints

## Story Points: 5
## Dependencies: API-01",2026-05-12,2026-05-14,Sprint 2,To Do,High,5,"backend,api",API-01
FE-05: Role UI,Edonita,"## Goal
Implement role-based access control UI.

## Description
Show/hide UI components based on roles defined in AUTH-02.

## Acceptance Criteria
- UI components are shown/hidden based on user role
- Role changes are reflected immediately

## Story Points: 3
## Dependencies: AUTH-02",2026-05-13,2026-05-14,Sprint 2,To Do,Medium,3,"frontend,roles",AUTH-02
TEST-02: E2E,Fatlinda,"## Goal
Create end-to-end tests for critical workflows.

## Acceptance Criteria
- E2E tests cover login, task creation, and dashboard flows
- Tests pass in CI environment

## Story Points: 6
## Dependencies: FE-03, FE-04, AUTH-02, API-01",2026-05-13,2026-05-14,Sprint 2,To Do,Medium,6,"testing,e2e","FE-03,FE-04,AUTH-02,API-01"
API-03: Search + Filtering,Engji,"## Goal
Implement advanced search and filtering endpoints.

## Description
REST endpoints over HTTP/HTTPS for filtering tasks, projects, comments.

## Tasks
- Implement search endpoint
- Add filters for status/priority/assignee/date
- Add pagination and sorting
- Write tests

## Acceptance Criteria
- Search works with multiple filters
- REST responses are correct

## Key Requirements Covered
✅ Requirement #2: HTTP/HTTPS Communication
✅ Requirement #20: Search & Filtering

## Story Points: 5
## Dependencies: API-02",2026-05-15,2026-05-17,Sprint 3,To Do,Medium,5,"backend,api,search",API-02
AI-01: OpenAI + Celery,Erza,"## Goal
Integrate OpenAI API with Celery for async AI features.

## Description
Build AI endpoints for chatbot, summarization, and priority suggestion.

## Tasks
- Configure Celery + Redis
- Create OpenAI service
- Create AI endpoints
- Write tests and Swagger docs

## Acceptance Criteria
- AI endpoints respond correctly
- Tasks run asynchronously
- Results stored in DB

## Story Points: 7
## Dependencies: API-02",2026-05-14,2026-05-17,Sprint 3,To Do,High,7,"backend,ai,celery",API-02
ASYNC-01: Email + Jobs,Erza,"## Goal
Implement background job processing for emails and notifications.

## Acceptance Criteria
- Emails are sent asynchronously via Celery
- Background jobs complete reliably
- Failed jobs are retried

## Story Points: 6
## Dependencies: AI-01",2026-05-17,2026-05-19,Sprint 3,To Do,Medium,6,"backend,async",AI-01
FE-06: AI UI,Edonita,"## Goal
Build AI UI for chatbot, summarization, and suggestions.

## Acceptance Criteria
- AI chat interface is functional
- Summarization and suggestions are displayed
- Loading states are handled

## Story Points: 5
## Dependencies: AI-01",2026-05-17,2026-05-19,Sprint 3,To Do,Medium,5,"frontend,ai",AI-01
DOC-01: Swagger,Leona,"## Goal
Document all REST endpoints using Swagger.

## Acceptance Criteria
- All API endpoints are documented in Swagger
- Swagger UI is accessible at /api/docs/
- Request/response schemas are complete

## Story Points: 4
## Dependencies: API-01, API-02",2026-05-15,2026-05-17,Sprint 3,To Do,Medium,4,"docs,swagger","API-01,API-02"
DOC-02: README,Fatlinda,"## Goal
Create complete project documentation.

## Acceptance Criteria
- README covers setup, usage, and architecture
- All team members and contributions are listed
- Deployment instructions are included

## Story Points: 5
## Dependencies: TEST-02, DOC-01",2026-05-18,2026-05-19,Sprint 3,To Do,Low,5,"docs","TEST-02,DOC-01"
FINAL-01: Final Integration,"Erza,Edonita,Leona,Engji,Fatlinda","## Goal
Conduct final integration and verify all 20 course requirements.

## Description
Perform system-wide validation across backend, frontend, tests, and documentation.

## Key Requirements Covered
✅ All 20 requirements verified explicitly

## Acceptance Criteria
- All 20 course requirements are verified
- System passes end-to-end tests
- Documentation is complete
- Demo is ready for presentation

## Story Points: 8
## Dependencies: DOC-02, ASYNC-01, FE-06, TEST-01, API-03",2026-05-20,2026-05-20,Sprint 3,To Do,High,8,"final","DOC-02,ASYNC-01,FE-06,TEST-01,API-03"
